aname,bname
缺铁性贫血,指甲翘起
缺铁性贫血,钩蚴性皮炎
脱发,瘙痒
脱发,鳞屑
脱发,病理性脱发
脱发,普秃
脱发,化妆品的毛发损害
脱发,肿瘤性脱发
脱发,血虚脱发
脱发,产后脱发
脱发,脱发
隐睾,腹痛
隐睾,胀痛
隐睾,胃肠道症状
隐睾,血清睾酮浓度低下
隐睾,无睾丸
隐睾,雄激素过少
巨舌,结节
巨舌,心力衰竭
巨舌,甲状腺功能低下
巨舌,黏液性水肿
巨舌,巨痕症
巨舌,血管神经性水肿
巨舌,齿痕舌
巨舌,巨舌
口炎,发烧
口炎,口腔黏膜溃疡
口炎,口腔黏膜白斑
口炎,口腔黏膜脱落
口炎,口腔黏膜黄豆大...
口炎,味觉异常
肺不张,呼吸困难
肺不张,闫鹏辉
肺不张,喘息
肺不张,呼吸音减弱
肺不张,发绀
肺不张,肺栓塞
肺不张,肺部感染
肺不张,纵隔增宽
肺不张,鼠尾征
球后视神经炎,反应迟钝
球后视神经炎,小儿青盲
球后视神经炎,视野缩小
球后视神经炎,球后视神经炎
肠系膜囊肿,恶心
肠系膜囊肿,腹泻
肠系膜囊肿,食欲减退
肠系膜囊肿,腹痛
肠系膜囊肿,恶心与呕吐
肠系膜囊肿,便秘
肠系膜囊肿,便血
肠系膜囊肿,腹部肿块
肠系膜囊肿,胀感
肠系膜囊肿,阵发性腹痛
胆汁性肝硬化,肝肿大
胆汁性肝硬化,腹水
胆汁性肝硬化,门静脉血流郁滞
胆汁性肝硬化,肝叶萎缩
胆汁性肝硬化,肝掌
胆汁性肝硬化,角膜色膜环
胆汁性肝硬化,胆汁潴留
胆汁性肝硬化,胆结石
胆汁性肝硬化,碱性磷酸酶增高
小肠损伤,恶心
小肠损伤,腹水
小肠损伤,肠鸣音消失
小肠损伤,肠鸣
小肠损伤,腹膜刺激征
小肠损伤,腹部压痛
小肠损伤,腹膜炎
小肠损伤,腹肌紧张
小肠损伤,肠壁坏死
小肠损伤,肠穿孔
眼球震颤,驻站医
眼球震颤,眩晕
眼球震颤,黑蒙
眼球震颤,听力减退
眼球震颤,生理性震颤
眼球震颤,缩瞳、眼睑下垂...
眼球震颤,眼球会聚功能麻...
眼球震颤,前庭反射消失
脑积水,智能障碍
脑积水,眼球震颤
脑积水,嗅觉障碍
脑积水,动静脉短路现象
脑积水,脑灰质移位
脑积水,脑灰质异常
脑积水,头痛头晕
脑积水,人中圆凸
肠道血管畸形,肠出血
肠道血管畸形,肠管出血
鼻出血,休克
鼻出血,贫血
鼻出血,鼻孔干疼
鼻出血,鼻粘膜溃疡
鼻出血,动脉出血
鼻出血,咳巧克力色痰
鼻出血,鼻腔前部出血
鼻出血,挖鼻孔
鼻出血,鼻出血
流产,阴道出血
流产,子宫移位
流产,盆腔沉重感
流产,下腹坠痛
流产,盆腔下垂感
流产,孕妇小腹痛
流产,尿妊娠试验阳性
闭经,搏动性头痛
闭经,多囊卵巢
闭经,子宫性闭经
闭经,继发性闭经
闭经,运动性闭经
闭经,垂体功能减退
闭经,产后无乳汁分泌
闭经,垂体性闭经
闭经,绝经过渡期及绝...
闭经,产后月经不再来潮
瘫痪,感觉障碍
瘫痪,衣玉品
瘫痪,肌张力降低
